gid,주차장,lon,lat,건물1,건물2,건물3,관공서,전기차,충전소,변압기,전기안전관리관,교통량,경제인구,sum,순위
다사72aa62ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사69ba63ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사81aa71aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사71ba56aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사78bb68ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사80ba54aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사82ab67bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사88bb63aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사84ba62aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사70aa63bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사73aa69ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사66aa64ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사83ab57ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사75ab60ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사83bb58ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사83ab51aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사81ba49ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사73aa61aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
